config_label,day,room_id,specialty_id
pop120_t2_cx0.8_mut0.02_stag30,martes,Q3,GIN
pop120_t2_cx0.8_mut0.02_stag30,miercoles,Q1,TRA
pop120_t2_cx0.8_mut0.02_stag30,miercoles,Q2,GIN
pop120_t2_cx0.8_mut0.02_stag30,miercoles,Q3,URO
pop120_t2_cx0.8_mut0.02_stag30,jueves,Q1,URO
pop120_t2_cx0.8_mut0.02_stag30,jueves,Q2,CG
pop120_t2_cx0.8_mut0.02_stag30,jueves,Q3,OFT
pop120_t2_cx0.8_mut0.02_stag30,viernes,Q1,TRA
pop120_t2_cx0.8_mut0.02_stag30,viernes,Q2,OFT
pop120_t2_cx0.8_mut0.02_stag30,viernes,Q3,NEU
pop120_t3_cx0.9_mut0.02_stag30,lunes,Q1,CG
pop120_t3_cx0.9_mut0.02_stag30,lunes,Q2,GIN
pop120_t3_cx0.9_mut0.02_stag30,lunes,Q3,TRA
pop120_t3_cx0.9_mut0.02_stag30,martes,Q1,OFT
pop120_t3_cx0.9_mut0.02_stag30,martes,Q2,NEU
pop120_t3_cx0.9_mut0.02_stag30,martes,Q3,CG
pop120_t3_cx0.9_mut0.02_stag30,miercoles,Q1,TRA
pop120_t3_cx0.9_mut0.02_stag30,miercoles,Q2,GIN
pop120_t3_cx0.9_mut0.02_stag30,miercoles,Q3,URO
pop120_t3_cx0.9_mut0.02_stag30,jueves,Q1,URO
pop120_t3_cx0.9_mut0.02_stag30,jueves,Q2,CG
pop120_t3_cx0.9_mut0.02_stag30,jueves,Q3,OFT
pop120_t3_cx0.9_mut0.02_stag30,viernes,Q1,TRA
pop120_t3_cx0.9_mut0.02_stag30,viernes,Q2,NEU
pop120_t3_cx0.9_mut0.02_stag30,viernes,Q3,OFT
pop120_t3_cx0.7_mut0.02_stag15,lunes,Q1,CG
pop120_t3_cx0.7_mut0.02_stag15,lunes,Q2,OFT
pop120_t3_cx0.7_mut0.02_stag15,lunes,Q3,TRA
pop120_t3_cx0.7_mut0.02_stag15,martes,Q1,OFT
pop120_t3_cx0.7_mut0.02_stag15,martes,Q2,CG
pop120_t3_cx0.7_mut0.02_stag15,martes,Q3,NEU
pop120_t3_cx0.7_mut0.02_stag15,miercoles,Q1,TRA
pop120_t3_cx0.7_mut0.02_stag15,miercoles,Q2,GIN
pop120_t3_cx0.7_mut0.02_stag15,miercoles,Q3,URO
pop120_t3_cx0.7_mut0.02_stag15,jueves,Q1,URO
pop120_t3_cx0.7_mut0.02_stag15,jueves,Q2,GIN
pop120_t3_cx0.7_mut0.02_stag15,jueves,Q3,CG
pop120_t3_cx0.7_mut0.02_stag15,viernes,Q1,TRA
pop120_t3_cx0.7_mut0.02_stag15,viernes,Q2,NEU
pop120_t3_cx0.7_mut0.02_stag15,viernes,Q3,OFT
pop80_t2_cx0.9_mut0.02_stag30,lunes,Q1,CG
pop80_t2_cx0.9_mut0.02_stag30,lunes,Q2,GIN
pop80_t2_cx0.9_mut0.02_stag30,lunes,Q3,TRA
pop80_t2_cx0.9_mut0.02_stag30,martes,Q1,OFT
pop80_t2_cx0.9_mut0.02_stag30,martes,Q2,NEU
pop80_t2_cx0.9_mut0.02_stag30,martes,Q3,CG
pop80_t2_cx0.9_mut0.02_stag30,miercoles,Q1,TRA
pop80_t2_cx0.9_mut0.02_stag30,miercoles,Q2,OFT
pop80_t2_cx0.9_mut0.02_stag30,miercoles,Q3,URO
pop80_t2_cx0.9_mut0.02_stag30,jueves,Q1,URO
pop80_t2_cx0.9_mut0.02_stag30,jueves,Q2,NEU
pop80_t2_cx0.9_mut0.02_stag30,jueves,Q3,CG
pop80_t2_cx0.9_mut0.02_stag30,viernes,Q1,TRA
pop80_t2_cx0.9_mut0.02_stag30,viernes,Q2,OFT
pop80_t2_cx0.9_mut0.02_stag30,viernes,Q3,GIN
pop120_t2_cx0.8_mut0.05_stag30,lunes,Q1,CG
pop120_t2_cx0.8_mut0.05_stag30,lunes,Q2,TRA
pop120_t2_cx0.8_mut0.05_stag30,lunes,Q3,GIN
pop120_t2_cx0.8_mut0.05_stag30,martes,Q1,OFT
pop120_t2_cx0.8_mut0.05_stag30,martes,Q2,NEU
pop120_t2_cx0.8_mut0.05_stag30,martes,Q3,CG
pop120_t2_cx0.8_mut0.05_stag30,miercoles,Q1,TRA
pop120_t2_cx0.8_mut0.05_stag30,miercoles,Q2,NEU
pop120_t2_cx0.8_mut0.05_stag30,miercoles,Q3,GIN
pop120_t2_cx0.8_mut0.05_stag30,jueves,Q1,URO
pop120_t2_cx0.8_mut0.05_stag30,jueves,Q2,CG
pop120_t2_cx0.8_mut0.05_stag30,jueves,Q3,OFT
pop120_t2_cx0.8_mut0.05_stag30,viernes,Q1,TRA
pop120_t2_cx0.8_mut0.05_stag30,viernes,Q2,OFT
pop120_t2_cx0.8_mut0.05_stag30,viernes,Q3,URO
pop80_t3_cx0.7_mut0.05_stag30,lunes,Q1,CG
pop80_t3_cx0.7_mut0.05_stag30,lunes,Q2,TRA
pop80_t3_cx0.7_mut0.05_stag30,lunes,Q3,NEU
pop80_t3_cx0.7_mut0.05_stag30,martes,Q1,URO
pop80_t3_cx0.7_mut0.05_stag30,martes,Q2,GIN
pop80_t3_cx0.7_mut0.05_stag30,martes,Q3,CG
pop80_t3_cx0.7_mut0.05_stag30,miercoles,Q1,TRA
pop80_t3_cx0.7_mut0.05_stag30,miercoles,Q2,GIN
pop80_t3_cx0.7_mut0.05_stag30,miercoles,Q3,URO
pop80_t3_cx0.7_mut0.05_stag30,jueves,Q1,TRA
pop80_t3_cx0.7_mut0.05_stag30,jueves,Q2,OFT
pop80_t3_cx0.7_mut0.05_stag30,jueves,Q3,CG
pop80_t3_cx0.7_mut0.05_stag30,viernes,Q1,OFT
pop80_t3_cx0.7_mut0.05_stag30,viernes,Q2,OFT
pop80_t3_cx0.7_mut0.05_stag30,viernes,Q3,NEU
pop80_t2_cx0.8_mut0.05_stag30,lunes,Q1,CG
pop80_t2_cx0.8_mut0.05_stag30,lunes,Q2,TRA
pop80_t2_cx0.8_mut0.05_stag30,lunes,Q3,GIN
pop80_t2_cx0.8_mut0.05_stag30,martes,Q1,OFT
pop80_t2_cx0.8_mut0.05_stag30,martes,Q2,NEU
pop80_t2_cx0.8_mut0.05_stag30,martes,Q3,CG
pop80_t2_cx0.8_mut0.05_stag30,miercoles,Q1,TRA
pop80_t2_cx0.8_mut0.05_stag30,miercoles,Q2,OFT
pop80_t2_cx0.8_mut0.05_stag30,miercoles,Q3,URO
pop80_t2_cx0.8_mut0.05_stag30,jueves,Q1,URO
pop80_t2_cx0.8_mut0.05_stag30,jueves,Q2,NEU
pop80_t2_cx0.8_mut0.05_stag30,jueves,Q3,CG
pop80_t2_cx0.8_mut0.05_stag30,viernes,Q1,TRA
pop80_t2_cx0.8_mut0.05_stag30,viernes,Q2,OFT
pop80_t2_cx0.8_mut0.05_stag30,viernes,Q3,GIN
pop120_t2_cx0.7_mut0.02_stag30,lunes,Q1,CG
pop120_t2_cx0.7_mut0.02_stag30,lunes,Q2,NEU
pop120_t2_cx0.7_mut0.02_stag30,lunes,Q3,TRA
pop120_t2_cx0.7_mut0.02_stag30,martes,Q1,OFT
pop120_t2_cx0.7_mut0.02_stag30,martes,Q2,CG
pop120_t2_cx0.7_mut0.02_stag30,martes,Q3,GIN
pop120_t2_cx0.7_mut0.02_stag30,miercoles,Q1,TRA
pop120_t2_cx0.7_mut0.02_stag30,miercoles,Q2,OFT
pop120_t2_cx0.7_mut0.02_stag30,miercoles,Q3,GIN
pop120_t2_cx0.7_mut0.02_stag30,jueves,Q1,URO
pop120_t2_cx0.7_mut0.02_stag30,jueves,Q2,NEU
pop120_t2_cx0.7_mut0.02_stag30,jueves,Q3,CG
pop120_t2_cx0.7_mut0.02_stag30,viernes,Q1,TRA
pop120_t2_cx0.7_mut0.02_stag30,viernes,Q2,OFT
pop120_t2_cx0.7_mut0.02_stag30,viernes,Q3,URO
pop80_t3_cx0.8_mut0.05_stag30,lunes,Q1,CG
pop80_t3_cx0.8_mut0.05_stag30,lunes,Q2,NEU
pop80_t3_cx0.8_mut0.05_stag30,lunes,Q3,URO
pop80_t3_cx0.8_mut0.05_stag30,martes,Q1,OFT
pop80_t3_cx0.8_mut0.05_stag30,martes,Q2,GIN
pop80_t3_cx0.8_mut0.05_stag30,martes,Q3,TRA
pop80_t3_cx0.8_mut0.05_stag30,miercoles,Q1,TRA
pop80_t3_cx0.8_mut0.05_stag30,miercoles,Q2,OFT
pop80_t3_cx0.8_mut0.05_stag30,miercoles,Q3,NEU
pop80_t3_cx0.8_mut0.05_stag30,jueves,Q1,URO
pop80_t3_cx0.8_mut0.05_stag30,jueves,Q2,CG
pop80_t3_cx0.8_mut0.05_stag30,jueves,Q3,CG
pop80_t3_cx0.8_mut0.05_stag30,viernes,Q1,TRA
pop80_t3_cx0.8_mut0.05_stag30,viernes,Q2,GIN
pop80_t3_cx0.8_mut0.05_stag30,viernes,Q3,OFT
pop120_t3_cx0.9_mut0.05_stag30,lunes,Q1,CG
pop120_t3_cx0.9_mut0.05_stag30,lunes,Q2,TRA
pop120_t3_cx0.9_mut0.05_stag30,lunes,Q3,URO
pop120_t3_cx0.9_mut0.05_stag30,martes,Q1,OFT
pop120_t3_cx0.9_mut0.05_stag30,martes,Q2,NEU
pop120_t3_cx0.9_mut0.05_stag30,martes,Q3,CG
pop120_t3_cx0.9_mut0.05_stag30,miercoles,Q1,TRA
pop120_t3_cx0.9_mut0.05_stag30,miercoles,Q2,GIN
pop120_t3_cx0.9_mut0.05_stag30,miercoles,Q3,OFT
pop120_t3_cx0.9_mut0.05_stag30,jueves,Q1,URO
pop120_t3_cx0.9_mut0.05_stag30,jueves,Q2,CG
pop120_t3_cx0.9_mut0.05_stag30,jueves,Q3,GIN
pop120_t3_cx0.9_mut0.05_stag30,viernes,Q1,TRA
pop120_t3_cx0.9_mut0.05_stag30,viernes,Q2,NEU
pop120_t3_cx0.9_mut0.05_stag30,viernes,Q3,OFT
pop80_t3_cx0.9_mut0.05_stag30,lunes,Q1,CG
pop80_t3_cx0.9_mut0.05_stag30,lunes,Q2,GIN
pop80_t3_cx0.9_mut0.05_stag30,lunes,Q3,NEU
pop80_t3_cx0.9_mut0.05_stag30,martes,Q1,URO
pop80_t3_cx0.9_mut0.05_stag30,martes,Q2,TRA
pop80_t3_cx0.9_mut0.05_stag30,martes,Q3,CG
pop80_t3_cx0.9_mut0.05_stag30,miercoles,Q1,TRA
pop80_t3_cx0.9_mut0.05_stag30,miercoles,Q2,GIN
pop80_t3_cx0.9_mut0.05_stag30,miercoles,Q3,OFT
pop80_t3_cx0.9_mut0.05_stag30,jueves,Q1,TRA
pop80_t3_cx0.9_mut0.05_stag30,jueves,Q2,NEU
pop80_t3_cx0.9_mut0.05_stag30,jueves,Q3,CG
pop80_t3_cx0.9_mut0.05_stag30,viernes,Q1,OFT
pop80_t3_cx0.9_mut0.05_stag30,viernes,Q2,OFT
pop80_t3_cx0.9_mut0.05_stag30,viernes,Q3,URO
pop80_t3_cx0.9_mut0.02_stag30,lunes,Q1,CG
pop80_t3_cx0.9_mut0.02_stag30,lunes,Q2,TRA
pop80_t3_cx0.9_mut0.02_stag30,lunes,Q3,GIN
pop80_t3_cx0.9_mut0.02_stag30,martes,Q1,OFT
pop80_t3_cx0.9_mut0.02_stag30,martes,Q2,CG
pop80_t3_cx0.9_mut0.02_stag30,martes,Q3,NEU
pop80_t3_cx0.9_mut0.02_stag30,miercoles,Q1,TRA
pop80_t3_cx0.9_mut0.02_stag30,miercoles,Q2,GIN
pop80_t3_cx0.9_mut0.02_stag30,miercoles,Q3,URO
pop80_t3_cx0.9_mut0.02_stag30,jueves,Q1,URO
pop80_t3_cx0.9_mut0.02_stag30,jueves,Q2,CG
pop80_t3_cx0.9_mut0.02_stag30,jueves,Q3,OFT
pop80_t3_cx0.9_mut0.02_stag30,viernes,Q1,TRA
pop80_t3_cx0.9_mut0.02_stag30,viernes,Q2,OFT
pop80_t3_cx0.9_mut0.02_stag30,viernes,Q3,NEU
pop120_t2_cx0.7_mut0.05_stag30,lunes,Q1,CG
pop120_t2_cx0.7_mut0.05_stag30,lunes,Q2,GIN
pop120_t2_cx0.7_mut0.05_stag30,lunes,Q3,TRA
pop120_t2_cx0.7_mut0.05_stag30,martes,Q1,OFT
pop120_t2_cx0.7_mut0.05_stag30,martes,Q2,NEU
pop120_t2_cx0.7_mut0.05_stag30,martes,Q3,CG
pop120_t2_cx0.7_mut0.05_stag30,miercoles,Q1,TRA
pop120_t2_cx0.7_mut0.05_stag30,miercoles,Q2,OFT
pop120_t2_cx0.7_mut0.05_stag30,miercoles,Q3,URO
pop120_t2_cx0.7_mut0.05_stag30,jueves,Q1,URO
pop120_t2_cx0.7_mut0.05_stag30,jueves,Q2,CG
pop120_t2_cx0.7_mut0.05_stag30,jueves,Q3,NEU
pop120_t2_cx0.7_mut0.05_stag30,viernes,Q1,TRA
pop120_t2_cx0.7_mut0.05_stag30,viernes,Q2,GIN
pop120_t2_cx0.7_mut0.05_stag30,viernes,Q3,OFT
pop120_t2_cx0.7_mut0.02_stag15,lunes,Q1,CG
pop120_t2_cx0.7_mut0.02_stag15,lunes,Q2,NEU
pop120_t2_cx0.7_mut0.02_stag15,lunes,Q3,TRA
pop120_t2_cx0.7_mut0.02_stag15,martes,Q1,OFT
pop120_t2_cx0.7_mut0.02_stag15,martes,Q2,CG
pop120_t2_cx0.7_mut0.02_stag15,martes,Q3,GIN
pop120_t2_cx0.7_mut0.02_stag15,miercoles,Q1,TRA
pop120_t2_cx0.7_mut0.02_stag15,miercoles,Q2,OFT
pop120_t2_cx0.7_mut0.02_stag15,miercoles,Q3,GIN
pop120_t2_cx0.7_mut0.02_stag15,jueves,Q1,URO
pop120_t2_cx0.7_mut0.02_stag15,jueves,Q2,NEU
pop120_t2_cx0.7_mut0.02_stag15,jueves,Q3,CG
pop120_t2_cx0.7_mut0.02_stag15,viernes,Q1,TRA
pop120_t2_cx0.7_mut0.02_stag15,viernes,Q2,OFT
pop120_t2_cx0.7_mut0.02_stag15,viernes,Q3,URO
pop120_t3_cx0.9_mut0.02_stag15,lunes,Q1,CG
pop120_t3_cx0.9_mut0.02_stag15,lunes,Q2,GIN
pop120_t3_cx0.9_mut0.02_stag15,lunes,Q3,TRA
pop120_t3_cx0.9_mut0.02_stag15,martes,Q1,OFT
pop120_t3_cx0.9_mut0.02_stag15,martes,Q2,NEU
pop120_t3_cx0.9_mut0.02_stag15,martes,Q3,CG
pop120_t3_cx0.9_mut0.02_stag15,miercoles,Q1,TRA
pop120_t3_cx0.9_mut0.02_stag15,miercoles,Q2,GIN
pop120_t3_cx0.9_mut0.02_stag15,miercoles,Q3,URO
pop120_t3_cx0.9_mut0.02_stag15,jueves,Q1,URO
pop120_t3_cx0.9_mut0.02_stag15,jueves,Q2,CG
pop120_t3_cx0.9_mut0.02_stag15,jueves,Q3,OFT
pop120_t3_cx0.9_mut0.02_stag15,viernes,Q1,TRA
pop120_t3_cx0.9_mut0.02_stag15,viernes,Q2,NEU
pop120_t3_cx0.9_mut0.02_stag15,viernes,Q3,OFT
pop80_t2_cx0.7_mut0.02_stag30,lunes,Q1,CG
pop80_t2_cx0.7_mut0.02_stag30,lunes,Q2,GIN
pop80_t2_cx0.7_mut0.02_stag30,lunes,Q3,TRA
pop80_t2_cx0.7_mut0.02_stag30,martes,Q1,OFT
pop80_t2_cx0.7_mut0.02_stag30,martes,Q2,NEU
pop80_t2_cx0.7_mut0.02_stag30,martes,Q3,OFT
pop80_t2_cx0.7_mut0.02_stag30,miercoles,Q1,TRA
pop80_t2_cx0.7_mut0.02_stag30,miercoles,Q2,OFT
pop80_t2_cx0.7_mut0.02_stag30,miercoles,Q3,URO
pop80_t2_cx0.7_mut0.02_stag30,jueves,Q1,URO
pop80_t2_cx0.7_mut0.02_stag30,jueves,Q2,CG
pop80_t2_cx0.7_mut0.02_stag30,jueves,Q3,CG
pop80_t2_cx0.7_mut0.02_stag30,viernes,Q1,TRA
pop80_t2_cx0.7_mut0.02_stag30,viernes,Q2,GIN
pop80_t2_cx0.7_mut0.02_stag30,viernes,Q3,NEU
pop120_t3_cx0.7_mut0.05_stag15,lunes,Q1,CG
pop120_t3_cx0.7_mut0.05_stag15,lunes,Q2,TRA
pop120_t3_cx0.7_mut0.05_stag15,lunes,Q3,NEU
pop120_t3_cx0.7_mut0.05_stag15,martes,Q1,OFT
pop120_t3_cx0.7_mut0.05_stag15,martes,Q2,CG
pop120_t3_cx0.7_mut0.05_stag15,martes,Q3,CG
pop120_t3_cx0.7_mut0.05_stag15,miercoles,Q1,TRA
pop120_t3_cx0.7_mut0.05_stag15,miercoles,Q2,OFT
pop120_t3_cx0.7_mut0.05_stag15,miercoles,Q3,URO
pop120_t3_cx0.7_mut0.05_stag15,jueves,Q1,URO
pop120_t3_cx0.7_mut0.05_stag15,jueves,Q2,GIN
pop120_t3_cx0.7_mut0.05_stag15,jueves,Q3,NEU
pop120_t3_cx0.7_mut0.05_stag15,viernes,Q1,TRA
pop120_t3_cx0.7_mut0.05_stag15,viernes,Q2,OFT
pop120_t3_cx0.7_mut0.05_stag15,viernes,Q3,GIN
pop80_t3_cx0.7_mut0.02_stag30,lunes,Q1,CG
pop80_t3_cx0.7_mut0.02_stag30,lunes,Q2,TRA
pop80_t3_cx0.7_mut0.02_stag30,lunes,Q3,URO
pop80_t3_cx0.7_mut0.02_stag30,martes,Q1,OFT
pop80_t3_cx0.7_mut0.02_stag30,martes,Q2,NEU
pop80_t3_cx0.7_mut0.02_stag30,martes,Q3,CG
pop80_t3_cx0.7_mut0.02_stag30,miercoles,Q1,TRA
pop80_t3_cx0.7_mut0.02_stag30,miercoles,Q2,GIN
pop80_t3_cx0.7_mut0.02_stag30,miercoles,Q3,OFT
pop80_t3_cx0.7_mut0.02_stag30,jueves,Q1,URO
pop80_t3_cx0.7_mut0.02_stag30,jueves,Q2,GIN
pop80_t3_cx0.7_mut0.02_stag30,jueves,Q3,CG
pop80_t3_cx0.7_mut0.02_stag30,viernes,Q1,TRA
pop80_t3_cx0.7_mut0.02_stag30,viernes,Q2,OFT
pop80_t3_cx0.7_mut0.02_stag30,viernes,Q3,NEU
pop120_t3_cx0.8_mut0.05_stag15,lunes,Q1,CG
pop120_t3_cx0.8_mut0.05_stag15,lunes,Q2,TRA
pop120_t3_cx0.8_mut0.05_stag15,lunes,Q3,GIN
pop120_t3_cx0.8_mut0.05_stag15,martes,Q1,OFT
